Level,Time,NodeName,PodNamespace,PodName,PodUID,CgroupID,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI
pod,2026-03-02 11:04:19.771,hostnode,sa,feedback-inference-3-bbfcf6979-nc9n2,11c2484c-ee59-4cf1-b235-e5f0bea30e4b,4294975877,1.15,0.0819,,,1.0060,14,0,0.00,0,0.00,0,0.010555,0.000000
pod,2026-03-02 11:04:19.771,hostnode,default,consul-5f547dd555-5fphc,138143ae-daea-4128-92ae-7c247466d7d4,4294975961,3.96,0.0102,,,0.5050,389,0,0.00,0,0.00,0,0.094921,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sn,social-graph-redis-545664784f-hj79p,13e148d0-b339-49ee-b0ce-b37559cd27c6,4294974447,0.10,0.0102,,,0.0150,10,0,0.00,0,0.00,0,0.007118,0.000000
pod,2026-03-02 11:04:19.771,hostnode,hn,mongodb-recommendation-98859d4d7-z5qfb,1514f4ec-f718-4bec-a3e8-bea39d0fedd1,4294976675,0.44,0.0116,,,0.0560,38,0,0.00,0,0.00,0,0.012383,0.000000
pod,2026-03-02 11:04:19.771,hostnode,ksense,ksense-5rfvq,1893397c-8b62-4aea-8a5e-d5c5032d91f8,4294989630,0.34,0.0092,,,0.0500,37,0,0.00,0,0.00,0,7.739586,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sn,social-graph-mongodb-6bf674bf9-vq4jm,1c0ce9e4-e1fb-455a-976e-11005acce9d0,4294974953,1.32,0.0082,,,0.0440,160,0,0.00,0,0.10,2,0.059333,0.000000
pod,2026-03-02 11:04:19.771,hostnode,hn,jaeger-b49ccf55-rbg7n,1e3eeb12-a307-41de-92ee-7ec930767d58,4294976381,0.02,0.0077,,,0.0120,3,0,0.00,0,0.00,0,0.001316,0.000000
pod,2026-03-02 11:04:19.771,hostnode,kube-system,calico-kube-controllers-5b9b456c66-qz22s,247149cd-61e5-4048-a7ef-75de96589398,4294974080,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 11:04:19.771,hostnode,hn,mongodb-user-86f7788f59-vwx8w,24987f22-ac3e-4037-b7e4-674696f71bfe,4294976843,0.37,0.0090,,,0.0170,41,0,0.00,0,0.06,1,0.012408,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sn,nginx-thrift-7f6f5d6b69-74vws,2d8ff9cc-73b2-47da-b0da-657ba9857d06,4294975289,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 11:04:19.771,hostnode,hn,memcached-reserve-66b4d9f986-twx7c,2e8cef70-b460-406c-822d-006e7c0c71a4,4294976171,0.04,0.0107,,,0.0160,4,0,0.00,0,0.00,0,0.000537,0.000000
pod,2026-03-02 11:04:19.771,hostnode,monitoring,monitoring-prometheus-node-exporter-679rr,309bc67f-0f97-4902-8e57-5f369481d878,4295080229,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 11:04:19.771,hostnode,hn,geo-75469c5bc9-b6l8f,4615d84f-8e28-403b-af02-b8c6c579361d,4294976003,0.26,0.0091,,,0.0200,28,0,0.00,0,0.00,0,0.003208,0.000000
pod,2026-03-02 11:04:19.771,hostnode,hn,mongodb-reservation-8566bbcb4f-rmkm5,5557386c-9898-4425-8979-6492e67868ee,4294976549,0.39,0.0100,,,0.0190,39,0,0.00,0,0.04,1,0.014084,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sn,social-graph-service-6b48d496c6-flfvk,56f4636a-d485-4728-9bb6-0e7977b14a71,4294974995,0.06,0.0138,,,0.0220,4,0,0.00,0,0.13,2,0.008703,0.000000
pod,2026-03-02 11:04:19.771,hostnode,ksense,fuzzy-scheduler-55c7fbbd75-xnggn,58bdb2da-a465-4653-b30a-5f823bd79594,4295063948,0.68,0.0072,,,0.0180,94,0,0.00,0,0.00,0,0.022085,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sn,user-mention-service-77b4dc8db6-qqb2p,5da702aa-5da1-48a1-a861-a28a962145a8,4294975121,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sa,feedback-inference-2-867b854976-qrcmg,63ea3062-c44d-4786-b84c-d210df45b2f8,4294975793,0.11,0.0081,,,0.0160,14,0,0.00,0,0.00,0,0.009867,0.000000
pod,2026-03-02 11:04:19.771,hostnode,hn,mongodb-rate-78677645d4-4v2h5,66c8e931-7fa3-448a-8822-0b2db155e788,4294976633,0.46,0.0113,,,0.0420,41,0,0.00,0,0.09,1,0.020052,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sa,feedback-inference-1-6b858c77b9-99c4j,6a98d5b2-6ae0-4348-ba84-d32a8010d14b,4294975625,0.13,0.0090,,,0.0170,14,0,0.00,0,0.00,0,0.012805,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sn,media-frontend-6bd9df9d6d-5vf4w,6be52f8a-5cf7-4c4d-a9cf-b851c52694e7,4294975077,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sn,media-memcached-657c8b4cdf-4cc9x,6d187294-14f3-4f11-b66b-6f178abedac4,4294974743,0.03,0.0090,,,0.0110,3,0,0.00,0,0.00,0,0.001636,0.000000
pod,2026-03-02 11:04:19.771,hostnode,monitoring,alertmanager-monitoring-kube-prometheus-alertmanager-0,70957292-81e5-4ffe-b8ad-b44e4de4b326,4295080817,0.25,0.0062,,,0.0180,40,0,0.00,0,0.06,2,0.000000,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sn,media-service-68f5f7ccbf-ks945,76c3a8df-aede-4a5f-b8bd-e74ce509a7e6,4294975331,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sn,home-timeline-redis-698c8bc65d-4c45h,79688f0b-7ab6-4f35-8438-aec8c8300d03,4294974827,0.11,0.0106,,,0.0240,10,0,0.00,0,0.00,0,0.008140,0.000000
pod,2026-03-02 11:04:19.771,hostnode,sa,feedback-inference-7-8f6cf7999-f5qn4,7aa819af-f314-4532-a0f4-c5e2a11fc6ef,4294975835,0.13,0.0091,,,0.0160,14,0,0.00,0,0.00,0,0.008549,0.000000
pod,2026-03-02 11:04:19.771,hostnode,monitoring,monitoring-grafana-67776b6b66-sxl62,7bda2edc-62de-4b78-aa7c-8a99331d9370,4295080355,1.55,0.0135,,,0.4380,115,0,0.00,0,0.00,0,0.035511,0.000000
