Level,Time,PodUID,CgroupID,SchedLat_Total_ms,SchedLat_Avg_ms,SchedLat_P95_ms,SchedLat_P99_ms,SchedLat_Max_ms,SchedLat_Count,SchedLat_Dropped,DState_Total_ms,DState_Count,SoftIRQ_Total_ms,SoftIRQ_Count,CPUUtil,PSI
pod,2026-03-02 10:40:10.800,a6ae812c-2f36-4242-951e-7c510528abdf,4294974169,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,a8cd873b-f644-410c-84de-9107a29e8a95,4294975163,1.85,0.0110,,,0.2800,168,0,0.00,0,0.10,2,0.067687,0.000000
pod,2026-03-02 10:40:10.800,aaae8af9-ce6d-4315-8571-0b20fd1508a3,4294976969,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,ad30444e-ccf1-472e-bbdf-808e7e5136d7,4295080271,1.44,0.1201,,,0.6930,12,0,0.00,0,0.02,1,0.010161,0.000000
pod,2026-03-02 10:40:10.800,ba1cc2cd-8a02-4c6c-bbdb-e783523c7a7d,4294976717,0.19,0.0072,,,0.0170,27,0,0.00,0,0.00,0,0.004683,0.000000
pod,2026-03-02 10:40:10.800,bb2cfec0-cd8a-4f5f-ad4d-eeeba610930f,4294974617,0.07,0.0084,,,0.0190,8,0,0.00,0,0.00,0,0.001960,0.000000
pod,2026-03-02 10:40:10.800,bf074cdf-70ff-4a02-abb0-d6d0be29abe2,4294974869,0.05,0.0127,,,0.0150,4,0,0.00,0,0.10,2,0.004346,0.000000
pod,2026-03-02 10:40:10.800,bf3df9a5-b422-4af5-864a-d651de48d26f,4294976801,0.18,0.0064,,,0.0160,28,0,0.00,0,0.00,0,0.003687,0.000000
pod,2026-03-02 10:40:10.800,c30245d8-5651-4f6b-a7d9-1712bf6e4e88,4294976045,0.07,0.0130,,,0.0170,5,0,0.00,0,0.00,0,0.001743,0.000000
pod,2026-03-02 10:40:10.800,c310a012-592c-495e-90f2-168aa1cee704,4294975205,0.01,0.0070,,,0.0070,1,0,0.00,0,0.00,0,0.000297,0.000000
pod,2026-03-02 10:40:10.800,c57a536e-ce39-4941-aff4-622d8fe82651,4294976297,0.15,0.0063,,,0.0270,24,0,0.00,0,0.00,0,0.003510,0.000000
pod,2026-03-02 10:40:10.800,d48a2e27-ce92-48da-9b79-fed0072b5dbf,4294974533,0.05,0.0106,,,0.0200,5,0,0.00,0,0.00,0,0.001478,0.000000
pod,2026-03-02 10:40:10.800,d5eed4b3-8e52-4dc1-9c6e-da95a7b40277,4295080859,9.85,0.2010,,,5.2930,49,0,0.00,0,0.03,1,0.107409,0.000000
pod,2026-03-02 10:40:10.800,d712ed1f-7a93-410f-82a6-ef80735a231c,4294974491,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,da072777-52fd-4834-9c10-0ee0f82da1c9,4294974701,0.00,0.0000,,,0.0000,0,0,0.00,0,0.00,0,0.000000,0.000000
pod,2026-03-02 10:40:10.800,dc0f2321-e793-49e9-9ee1-937c87155298,4294974659,0.13,0.0335,,,0.0760,4,0,0.00,0,0.06,2,0.003646,0.000000
pod,2026-03-02 10:40:10.800,dc101e1d-3f1f-410b-b83e-ee7fac561bac,4294973996,0.25,0.0071,,,0.1020,35,0,0.00,0,0.00,0,0.003470,0.000000
pod,2026-03-02 10:40:10.800,dcafcb5d-4d9d-4a0a-a50e-9b777755abe1,4294974038,16.83,0.0196,,,3.4190,858,0,0.53,4,0.05,2,0.520702,0.144088
pod,2026-03-02 10:40:10.800,df7754d7-8bc5-4bec-8298-6777d24ad6ed,4294974911,0.07,0.0130,,,0.0150,5,0,0.00,0,0.10,2,0.004554,0.000000
pod,2026-03-02 10:40:10.800,e142aae7-6ba9-48d3-b5bf-9d819ce77fac,4294974575,1.28,0.0081,,,0.0270,159,0,0.00,0,0.01,4,0.060100,0.000000
pod,2026-03-02 10:40:10.800,e2decc3f-3382-4912-8838-e68559a26a98,4294975751,0.11,0.0076,,,0.0220,14,0,0.00,0,0.00,0,0.013188,0.000000
