Time,Social_P99_ms,Hotel_P99_ms,Feedback_P99_ms
2026-02-17 14:11:29,1302.7250,316.4381,4631.0768
2026-02-17 14:11:39,1004.9763,58.4185,3042.2474
2026-02-17 14:11:49,1034.3063,303.1332,
2026-02-17 14:11:59,939.0606,195.0233,
2026-02-17 14:12:09,1814.7588,302.8535,
2026-02-17 14:12:19,53.7231,257.6238,
2026-02-17 14:12:29,248.1935,432.9943,2802.6541
2026-02-17 14:12:39,2613.9146,440.5353,3868.0805
2026-02-17 14:12:43,1148.1837,422.3382,4704.5106
2026-02-17 14:12:53,1152.2619,47.9024,3482.4202
2026-02-17 14:13:03,2483.1354,470.5468,4698.3198
2026-02-17 14:13:13,1359.4177,479.0284,
2026-02-17 14:13:23,3565.3570,488.1497,7077.5402
2026-02-17 14:13:33,902.8186,330.3041,5250.6480
2026-02-17 14:13:43,2205.7838,331.8813,3800.0877
2026-02-17 14:13:53,1064.7532,119.9631,4459.8666
2026-02-17 14:14:03,39.6459,323.6751,6700.7683
2026-02-17 14:14:14,102.4450,285.5572,
2026-02-17 14:14:24,1224.4549,421.9321,
2026-02-17 14:14:34,2519.3973,489.0508,
2026-02-17 14:14:44,2432.9797,396.4664,6211.4537
2026-02-17 14:14:54,2328.4842,512.6964,
2026-02-17 14:15:04,1120.5363,298.7441,3150.5823
2026-02-17 14:15:14,141.8646,410.2658,3548.9165
2026-02-17 14:15:24,1886.2234,200.7383,
2026-02-17 14:15:34,1284.5638,331.2096,
2026-02-17 14:15:44,2646.0948,303.0649,
2026-02-17 14:15:54,1283.5167,315.3825,
2026-02-17 14:16:04,1192.7464,329.9837,3774.9000
2026-02-17 14:16:14,437.7514,349.7257,6144.5645
2026-02-17 14:16:24,389.2144,275.8564,
2026-02-17 14:16:34,1175.8876,425.3152,
2026-02-17 14:16:44,2526.2929,343.6408,
2026-02-17 14:16:54,2114.4161,208.7807,
2026-02-17 14:17:04,1090.4027,234.3133,
2026-02-17 14:17:14,1145.6635,226.6767,
2026-02-17 14:17:24,1125.1119,196.9402,3811.2132
2026-02-17 14:17:34,1846.9478,201.8030,4158.7928
2026-02-17 14:17:44,77.5097,278.8690,4015.9357
2026-02-17 14:17:54,263.8528,215.8944,1924.3031
2026-02-17 14:18:04,1069.8089,439.6860,
2026-02-17 14:18:14,1550.5709,328.0606,
2026-02-17 14:18:24,3223.0404,324.5760,3253.8094
2026-02-17 14:18:34,1223.6089,228.1759,
2026-02-17 14:18:44,1292.4271,201.1653,3914.1700
2026-02-17 14:18:54,1094.4450,319.9861,2668.0168
2026-02-17 14:19:04,1011.2725,205.5999,2870.8353
2026-02-17 14:19:14,1165.3711,304.3642,
2026-02-17 14:19:24,137.3039,259.6428,4050.7415
2026-02-17 14:19:34,167.0028,266.9207,
2026-02-17 14:19:44,1313.1868,462.2979,
2026-02-17 14:19:54,86.5612,390.9802,
2026-02-17 14:20:04,867.1021,259.0183,9866.1633
2026-02-17 14:20:14,788.6762,7.7757,3388.3344
2026-02-17 14:20:24,1049.4842,9.6271,1675.2006
2026-02-17 14:20:34,609.2364,12.5546,9458.3825
2026-02-17 14:20:44,691.8149,8.5269,9738.1467
2026-02-17 14:20:54,1145.7482,16.1864,
2026-02-17 14:21:04,1704.8158,10.4134,8729.5153
2026-02-17 14:21:13,1950.9896,14.9144,6123.0355
2026-02-17 14:21:19,1956.8450,8.7542,9846.1687
2026-02-17 14:21:29,827.5508,14.1575,7129.8436
2026-02-17 14:21:39,476.5850,12.4309,9670.8738
2026-02-17 14:21:49,1663.8682,13.0283,
2026-02-17 14:21:59,928.2237,12.6194,2315.6925
2026-02-17 14:22:09,374.3552,12.3049,8093.9758
2026-02-17 14:22:17,1152.3544,23.5957,565.6046
2026-02-17 14:22:20,613.9196,29.5077,
2026-02-17 14:22:30,370.8765,10.9794,
2026-02-17 14:22:40,815.9505,10.7588,
2026-02-17 14:22:50,311.0204,11.3514,
2026-02-17 14:23:01,1550.2704,10.0875,3029.7667
2026-02-17 14:23:11,845.1023,17.7459,
2026-02-17 14:23:21,965.5873,10.5089,
2026-02-17 14:23:31,1060.5166,14.8816,2299.8827
2026-02-17 14:23:41,869.4527,12.6254,9168.1512
2026-02-17 14:23:50,923.7607,8.6649,441.8300
2026-02-17 14:23:53,904.7104,12.7208,
2026-02-17 14:24:03,775.4243,16.0380,
2026-02-17 14:24:13,786.3720,18.3986,
2026-02-17 14:24:23,255.1817,12.2303,
2026-02-17 14:24:33,1758.7567,11.2471,3037.3141
2026-02-17 14:24:43,999.1310,6.3705,
2026-02-17 14:24:53,780.4078,10.9088,
2026-02-17 14:25:03,2431.7796,8.8743,
2026-02-17 14:25:13,1170.3881,10.6403,2139.7305
2026-02-17 14:25:23,26.7996,128.6883,
2026-02-17 14:25:33,1005.0525,391.6218,2692.2594
2026-02-17 14:25:43,2154.4324,355.1884,
2026-02-17 14:25:53,1087.2393,295.6852,
2026-02-17 14:26:03,2286.0183,355.5334,
2026-02-17 14:26:13,2212.8844,278.3997,
2026-02-17 14:26:23,840.0602,325.8605,4326.0170
2026-02-17 14:26:33,1310.4808,302.1085,
2026-02-17 14:26:43,2770.8744,274.2109,2434.2690
2026-02-17 14:26:53,1137.9056,405.6617,3549.2145
2026-02-17 14:27:03,1269.9074,386.8381,
2026-02-17 14:27:13,1442.7937,287.9765,4304.6889
2026-02-17 14:27:23,1402.1968,326.7077,3709.2605
2026-02-17 14:27:33,2225.2704,697.9037,
2026-02-17 14:27:43,266.3901,365.4726,3614.8045
2026-02-17 14:27:53,1203.1863,420.8720,5017.6365
2026-02-17 14:28:03,3021.5652,225.2046,3280.4538
2026-02-17 14:28:13,1888.3557,482.8809,
2026-02-17 14:28:24,77.4022,277.3247,
2026-02-17 14:28:34,71.5421,313.3600,
2026-02-17 14:28:44,1114.6652,283.1942,3080.1238
2026-02-17 14:28:54,1144.5738,185.6169,2728.2885
2026-02-17 14:29:04,53.1919,303.4139,
2026-02-17 14:29:14,2793.2442,350.3432,
2026-02-17 14:29:24,1212.4380,291.0345,3317.9248
2026-02-17 14:29:34,1009.7094,114.2379,2882.0852
2026-02-17 14:29:44,2253.6015,270.9052,
2026-02-17 14:29:54,2214.8817,539.7576,
2026-02-17 14:30:04,1225.8113,307.4203,2514.0318
2026-02-17 14:30:14,167.4352,118.0126,5248.5223
2026-02-17 14:30:24,49.0647,280.8087,
2026-02-17 14:30:34,61.2461,417.5993,
2026-02-17 14:30:44,1181.0572,296.7989,
2026-02-17 14:30:54,1217.4543,313.8291,3634.4418
2026-02-17 14:31:04,99.0485,513.8437,
2026-02-17 14:31:14,599.4056,256.8590,
2026-02-17 14:31:24,1139.5015,407.4047,5807.5935
2026-02-17 14:31:34,2982.4264,169.1595,4627.2247
2026-02-17 14:31:44,1234.7388,488.0502,3756.7183
2026-02-17 14:31:54,1290.0022,350.4277,4531.7119
2026-02-17 14:32:04,179.0868,143.7743,3500.0361
2026-02-17 14:32:14,1318.2066,362.0568,2890.5785
2026-02-17 14:32:24,2024.0932,249.7431,2773.8689
2026-02-17 14:32:34,1340.2649,275.3425,3724.3952
2026-02-17 14:32:44,1171.4976,198.9288,
2026-02-17 14:32:54,1756.1857,319.7862,2690.4946
2026-02-17 14:33:04,1438.4703,428.5578,
2026-02-17 14:33:14,1466.2820,309.3080,3174.6066
2026-02-17 14:33:24,1136.3368,419.1935,
2026-02-17 14:33:34,1195.2075,345.7644,
2026-02-17 14:33:44,1305.1219,206.9452,
2026-02-17 14:33:54,2222.2445,417.8856,3726.7736
2026-02-17 14:34:04,1198.3587,319.1537,2427.7714
2026-02-17 14:34:14,3233.9066,70.9680,
2026-02-17 14:34:24,1639.2577,438.5861,6117.3011
2026-02-17 14:34:34,1201.2276,222.2889,2683.1836
2026-02-17 14:34:44,1034.9251,285.7278,
2026-02-17 14:34:54,6160.1195,489.6212,
2026-02-17 14:35:04,2422.7624,342.1661,
2026-02-17 14:35:14,1217.4315,219.8598,
2026-02-17 14:35:24,1269.4759,377.8296,
2026-02-17 14:35:35,30.4632,189.8301,1881.6719
2026-02-17 14:35:45,1066.6722,450.1887,1940.0249
2026-02-17 14:35:55,1203.9526,478.5096,
2026-02-17 14:36:05,1138.8713,392.2168,
2026-02-17 14:36:15,1233.8900,481.4260,3626.7521
2026-02-17 14:36:25,3514.9378,306.4225,6976.8774
2026-02-17 14:36:35,1049.4264,269.3412,
2026-02-17 14:36:45,2354.4653,440.6658,
2026-02-17 14:36:55,41.6387,311.6166,
2026-02-17 14:37:05,1045.8756,362.4274,3090.4958
2026-02-17 14:37:15,194.7601,129.5621,5014.7470
2026-02-17 14:37:25,159.7597,449.9176,4465.8205
2026-02-17 14:37:35,1300.8790,327.7846,4462.8536
2026-02-17 14:37:45,1913.9996,274.0168,
2026-02-17 14:37:55,116.2258,310.0071,
2026-02-17 14:38:05,1382.2909,255.3177,3224.3041
2026-02-17 14:38:15,1267.1041,371.0760,3143.8580
2026-02-17 14:38:25,1280.5728,279.7201,
2026-02-17 14:38:35,1275.4892,232.1849,4193.2123
2026-02-17 14:38:45,897.7353,272.8824,3123.2473
2026-02-17 14:38:55,40.7790,291.7885,3743.8303
2026-02-17 14:39:05,2201.6469,231.8437,1777.2680
2026-02-17 14:39:15,316.6743,237.6291,2700.8349
2026-02-17 14:39:25,250.5900,358.2095,
2026-02-17 14:39:35,2159.6391,313.7992,4608.9945
2026-02-17 14:39:45,56.4829,129.6460,
2026-02-17 14:39:55,2639.2250,187.5736,
2026-02-17 14:40:05,2317.1849,349.9093,2703.5162
2026-02-17 14:40:15,2370.6032,443.6399,
2026-02-17 14:40:25,904.8007,11.3606,3868.8275
2026-02-17 14:40:29,611.9658,15.7333,3736.4158
2026-02-17 14:40:33,16.0147,10.9005,164.8667
2026-02-17 14:40:36,18.0679,8.8501,231.4752
2026-02-17 14:40:39,18.5414,14.8369,494.2384
2026-02-17 14:40:42,23.6547,13.3717,527.0798
2026-02-17 14:40:45,20.1994,15.4097,526.1994
2026-02-17 14:40:48,20.3441,11.4008,2372.3602
2026-02-17 14:40:51,24.3679,9.5373,236.3069
2026-02-17 14:40:54,20.8496,13.4666,351.0723
2026-02-17 14:40:57,18.5897,15.4059,1687.0320
2026-02-17 14:41:00,25.0341,7.3228,3169.9367
2026-02-17 14:41:03,19.1468,11.5573,353.9323
2026-02-17 14:41:06,16.7363,7.9933,4693.5173
2026-02-17 14:41:11,19.4990,14.3742,222.5259
